indice;fecha;base;ipc ;
1;jul-20;416568970;0,00%;
2;ago-20;367003960;-0,01%;
3;sep-20;347765400;0,32%;
4;oct-20;334705440;-0,06%;
5;nov-20;334677480;-0,15%;
6;dic-20;458839500;0,38%;
7;ene-21;415083000;0,41%;
8;feb-21;328329970;0,64%;
9;mar-21;359797990;0,51%;
10;abr-21;347460000;0,59%;
11;may-21;358756140;1,00%;
12;jun-21;336919930;-0,05%;
13;jul-21;364554200;0,32%;
14;ago-21;372155080;0,45%;
15;sep-21;396239670;0,38%;
16;oct-21;396161120;0,01%;
17;nov-21;412412980;0,50%;
18;dic-21;509671600;0,73%;
19;ene-22;420904170;1,67%;
20;feb-22;392745110;1,63%;
21;mar-22;436215330;1,00%;
22;abr-22;444373000;1,25%;
23;may-22;418003030;0,84%;
24;jun-22;409880500;0,51%;
25;jul-22;462448500;0,81%;
26;ago-22;475147100;1,02%;
27;sep-22;476523820;0,93%;
28;oct-22;464978080;0,72%;
29;nov-22;472773130;0,77%;
30;dic-22;513664420;1,26%;
31;ene-23;393275030;0,00%;
